책 제목,URL,저자/역자,발행일,작성일,작성자,구매,평점,리뷰,ISBN13,숫자평점
진짜 챗GPT 활용법,https://product.kyobobook.co.kr/detail/S000209663807,"김준성,브라이스 유,안상준",2023-10-18,2023-11-02,li*****,구매자,4,chat gpt  일도 모르는 사람이 공부해도 알아듣기 쉽게 되어 있습니다,9791158394721,4.0
진짜 챗GPT 활용법 ,http://www.yes24.com/Product/Goods/122767542,"김준성, 브라이스 유, 안상준 저",2023-10-10,2023-11-01,m*쭈,,내용 평점5점  편집/디자인 평점5점,"미국 로스쿨 시험 통과, 의사 면허 시험 통과, 구글 코딩 테스트 합격 등. 한 개인의 이력이라면 정말 어마무시한 업적이 아닐 수 없다. 그런데 이 어마무시한 업적을 이루어낸 존재가 이 세상에 등장했다. 아주 조용히 그러나 강력하게. 우리가 알고 싶은것에 대해몇 가지 단서만 제공한다면, 이 인공지능 시스템은 우리에게 무궁무진한 세상을 펼쳐 놓는다.... 더보기",9791158394721,5.0
진짜 챗GPT 활용법 ,http://www.yes24.com/Product/Goods/122767542,"김준성, 브라이스 유, 안상준 저",2023-10-10,2023-11-01,j*****g,,내용 평점5점  편집/디자인 평점5점,"이 책은 ChatGPT의 기본 사용법부터 블로그, 영상 제작, 업무에서의 활용법은 물론, Advanced Data Analysis를 활용한 주식 데이터, 부동산 데이터 분석까지 생성형 AI를 다양하게 활용하는 방법을 담고 있어요. 저도 가끔 ChatGPT를 활용해서 도움을 받고 있는데, 이 책에는다양한 분야에서 활용하는 방법을 소개하고 있습니다. 특히, 블로그 글 작성, 유튜브 영... 더보기",9791158394721,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,http://www.yes24.com/Product/Goods/121798780,김철수 저,2023-08-25,2023-11-01,c**********5,,내용 평점5점  편집/디자인 평점5점,평소 엑셀로 데이터가공을 자주 하던터라 데이터분석을 어떻게 하면 더 효율적이고 간편하게 할 수 있을지 고민했던터라 더 관심이 갔습니다.복잡한 데이터를 보기좋게 시각화하면 보는 사람도 데이터를 주는 사람도 참 좋겠다라는 생각이 들더라구요!데이터가공을 하다보면 가지각색의 양식과 데이터들로 분류하는 작업부터 많이 지치게 되더라구요.그리고 어떤 부... 더보기,9791158394639,5.0
만들면서 배우는 나만의 인공지능 서비스,https://product.kyobobook.co.kr/detail/S000208796038,최은석,2023-09-06,2023-11-01,le****,,4,"가끔 어떤 책을 보면 복잡한 기능을 어렵게 구현해서 정작 스스로 응용해야할 때 어려운 경우가 있는데요.

이 책은 어떤 원리로 동작되는지 궁금했던 기능, 알아두면 유용하게 쓸 수 있을 것 같은 기능 위주의 실용적인 API가 많아서 좋았습니다. 그래서 이 책의 내용들을 실습해보고 나면, 개발할 수 있는 인공지능 서비스가 어떤 것이 있을지 감이 잡힐거 같아요. 이론 쪽으로도 알차게 구성돼 있어서, 배운 내용을 바탕으로 좀 더 응용해서 개발할 수 있을 것 같습니다.

1장에서 파이썬 기초 문법을 간단히 다루고 있어서 기본기를 다져가며 보기 좋았어요. 인공지능, 생성AI, API로 어떤 기능/서비스를 구현할 수 있는지 궁금한 분들께 추천하고 싶은 책입니다.",9791158394615,4.0
AWS 구조와 서비스,https://product.kyobobook.co.kr/detail/S000200882352,"우에노 후미아키,코바야시 쿄헤이,오자와 코스케,다카나시 토모유키,양현,김민호",2023-02-15,2023-11-01,ky*******,구매자,4,aws구조와 서비스를 알 수 있었습니다,9791158393977,4.0
2023 이지패스 ADsP 데이터분석 준전문가,https://product.kyobobook.co.kr/detail/S000200640629,"전용문,박현민",2023-01-16,2023-11-01,cg*****,한달 후 리뷰,4,강의 들으면서 활용하니 좋습니다.,9791158394059,4.0
진짜 챗GPT 활용법 ,http://www.yes24.com/Product/Goods/122767542,"김준성, 브라이스 유, 안상준 저",2023-10-10,2023-10-31,e***u,,내용 평점5점  편집/디자인 평점5점,"AI를 활용한 다양한 방법에 대한 책을 통해 웹사이트 제작부터 블로그 글쓰기, 영상 제작까지 다양한 활용 방법을 알게 되었어요.실제로 챗 GPT를 활용하면 업무 시간을 단축시킬 수 있는 다양한 방법들이 무궁무진하다는 것!AI 도구를 잘 다루면 프로그래밍 지식이 없어도 웹사이트를 만들거나 엑셀 수식을 만들 수 있을 뿐만 아니라, 직장인이나 사업가들에게 시간... 더보기",9791158394721,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=322824842,김철수,2023-08-25,2023-10-31,황인미,구매,5점,실용적인 책 코드인터프리터의 혁신적임은 익히 들어왔다결제를 해야만 사용할 수 있는게 안타깝지만^^이젠 파일도 직접 올릴 수 있다그래서 2부에선 그 파일들로 하는 작업들이 주로 나온듯하다엑셀 작업이 많다파일을 합쳐서 정리를 해주다니 진짜 놀라울 따름..프롬프트에 따라 달라지는 결과니 프롬프트도 유심히 보게 된다간단한 프롬프트보다는 요구사항을 정확하고 간결하게 표현해야한다다양한 사례들로 분석해두어서 많은 도움이 될 것 같다,9791158394639,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=322824842,김철수,2023-08-25,2023-10-31,황인미,구매,5점,실용적인 책 코드인터프리터의 혁신적임은 익히 들어왔다결제를 해야만 사용할 수 있는게 안타깝지만^^이젠 파일도 직접 올릴 수 있다그래서 2부에선 그 파일들로 하는 작업들이 주로 나온듯하다엑셀 작업이 많다파일을 합쳐서 정리를 해주다니 진짜 놀라울 따름..프롬프트에 따라 달라지는 결과니 프롬프트도 유심히 보게 된다간단한 프롬프트보다는 요구사항을 정확하고 간결하게 표현해야한다다양한 사례들로 분석해두어서 많은 도움이 될 것 같다,9791158394639,5.0
